Membership No  Date Joined  Active  
    32540      2019-6-14    yes   
    83434      2018-3-4     yes   
    98892      2018-5-5     yes   
    37772      2017-12-20   yes   
    61526      2020-5-23    yes   
    77226      2015-11-9    yes   
    25192      2016-6-3     yes   
    75766      2015-10-20   yes   
    20489      2016-12-24   yes   
    94482      2016-2-25    yes   
    83595      2018-11-24   yes   
    49218      2019-2-6     yes   
    40971      2015-4-21    yes   
    52903      2016-10-3    yes   
